0,847.377
1,776.706
2,768.319
3,768.319
4,704.761
5,704.761
6,704.761
7,704.761
8,704.761
9,704.761
10,688.263
11,651.636
12,651.636
13,651.636
14,651.636
15,651.636
16,651.636
17,651.636
18,651.636
19,651.636
20,651.636
21,651.636
22,651.636
23,651.636
24,651.636
25,651.636
26,651.636
27,601.21
28,601.21
29,601.21
30,601.21
31,598.959
32,598.959
33,598.959
34,596.959
35,596.959
36,596.959
37,596.959
38,596.959
39,596.959
40,596.959
41,596.959
42,596.959
43,596.959
44,596.959
45,596.959
46,596.959
47,596.959
48,596.959
49,596.959
50,596.959
